event_id,account_id,timestamp,device_id,login_result,mfa_flag,failure_reason,latitude,longitude,is_account_takeover
AUTH000000,ACC100450,2026-06-18 23:20:00,DEV01391,success,1,bad_password,-22.5666,17.1566,0
AUTH000001,ACC100504,2026-06-08 00:06:00,DEV02295,success,1,bad_password,-22.6696,14.5613,0
AUTH000002,ACC100306,2026-07-01 22:23:00,DEV04462,success,1,none,-26.5278,18.0902,0
AUTH000003,ACC100067,2026-06-20 09:21:00,DEV04991,success,1,bad_password,-17.8652,19.6622,0
AUTH000004,ACC100584,2026-07-11 11:43:00,DEV01460,success,1,none,-17.8775,19.8363,0
AUTH000005,ACC100135,2026-07-07 12:27:00,DEV01541,success,1,bad_password,-22.5555,17.1434,0
AUTH000006,ACC100471,2026-07-07 18:55:00,DEV02205,success,1,none,-17.719,15.6966,0
AUTH000007,ACC100068,2026-07-24 04:02:00,DEV02090,success,1,bad_password,-26.5539,18.1413,0
AUTH000008,ACC100089,2026-06-14 18:06:00,DEV04377,success,1,none,-17.8214,15.6663,0
AUTH000009,ACC100034,2026-07-05 14:34:00,DEV01856,success,1,none,-17.9085,19.752,0
AUTH000010,ACC100604,2026-07-18 09:21:00,DEV01601,failed,0,bad_otp,-24.4029,12.8199,1
AUTH000011,ACC100327,2026-06-26 00:36:00,DEV02779,success,0,bad_password,-22.557,17.0554,0
AUTH000012,ACC100519,2026-07-11 08:57:00,DEV02286,success,1,none,-22.6145,17.0531,0
AUTH000013,ACC100316,2026-06-28 12:44:00,DEV04186,success,1,none,-22.8986,14.5215,0
AUTH000014,ACC100738,2026-06-12 02:14:00,DEV03005,success,1,bad_password,-22.5423,17.1218,0
AUTH000015,ACC100051,2026-06-22 22:55:00,DEV03764,failed,1,bad_password,-22.933,14.4726,0
AUTH000016,ACC100183,2026-07-22 13:14:00,DEV00937,success,1,none,-22.5718,17.0955,0
AUTH000017,ACC100381,2026-06-30 19:19:00,DEV01481,success,1,none,-22.9761,14.4308,0
AUTH000018,ACC100053,2026-07-03 06:26:00,DEV04411,success,0,none,-26.5346,18.1457,0
AUTH000019,ACC100716,2026-07-13 09:40:00,DEV00186,success,1,none,-26.5921,18.1606,0
AUTH000020,ACC100325,2026-07-19 10:02:00,DEV03505,success,1,bad_password,-17.7754,15.654,0
AUTH000021,ACC100367,2026-07-13 02:41:00,DEV02966,failed,1,bad_password,-26.5633,18.0808,0
AUTH000022,ACC100754,2026-06-10 03:29:00,DEV01082,success,0,none,-17.9201,19.7963,0
AUTH000023,ACC100166,2026-07-22 14:57:00,DEV01451,success,1,bad_password,-17.9285,19.7666,0
AUTH000024,ACC100348,2026-06-18 23:48:00,DEV00438,success,1,none,-23.0278,14.5718,0
AUTH000025,ACC100756,2026-07-29 12:22:00,DEV01406,success,0,bad_password,-17.8925,19.793,0
AUTH000026,ACC100665,2026-06-14 02:32:00,DEV01191,success,0,none,-17.8136,15.7238,0
AUTH000027,ACC100572,2026-06-25 20:29:00,DEV00898,success,1,bad_password,-22.7715,14.5264,0
AUTH000028,ACC100111,2026-07-11 04:38:00,DEV01945,success,1,bad_password,-22.7089,14.6254,0
AUTH000029,ACC100176,2026-06-27 21:48:00,DEV03222,success,1,none,-22.6391,14.5774,0
AUTH000030,ACC100571,2026-06-01 06:01:00,DEV02200,success,0,bad_password,-22.9509,14.584,0
AUTH000031,ACC100237,2026-06-26 16:54:00,DEV00200,success,1,bad_password,-26.6472,18.151,0
AUTH000032,ACC100568,2026-06-20 03:52:00,DEV01643,success,1,none,-17.7928,15.665,0
AUTH000033,ACC100515,2026-06-09 16:31:00,DEV04740,success,1,none,-17.8185,15.7187,0
AUTH000034,ACC100475,2026-07-10 00:45:00,DEV03559,success,0,none,-22.7738,14.5174,0
AUTH000035,ACC100365,2026-06-19 21:11:00,DEV00182,success,1,none,-22.9011,14.5417,0
AUTH000036,ACC100192,2026-07-29 17:09:00,DEV01755,success,0,none,-22.5394,17.0819,0
AUTH000037,ACC100686,2026-06-04 14:46:00,DEV01370,success,1,none,-17.9411,19.7149,0
AUTH000038,ACC100542,2026-06-17 21:08:00,DEV00527,success,1,none,-26.5711,18.1045,0
AUTH000039,ACC100704,2026-06-04 15:34:00,DEV03932,success,0,none,-22.7636,14.6513,0
AUTH000040,ACC100194,2026-06-27 15:13:00,DEV00078,success,1,none,-17.8271,15.6648,0
AUTH000041,ACC100404,2026-06-07 12:46:00,DEV00702,success,0,none,-22.5682,17.0827,0
AUTH000042,ACC100664,2026-07-10 07:00:00,DEV02863,success,0,bad_password,-22.6815,14.587,0
AUTH000043,ACC100542,2026-06-10 08:16:00,DEV00527,success,1,none,-26.5498,18.0747,0
AUTH000044,ACC100218,2026-06-22 17:45:00,DEV04269,success,0,none,-26.5307,18.1354,0
AUTH000045,ACC100600,2026-06-06 16:11:00,DEV03360,success,1,bad_password,-22.5399,17.0198,0
AUTH000046,ACC100434,2026-06-05 17:00:00,DEV01464,success,1,none,-22.9258,14.6339,0
AUTH000047,ACC100433,2026-07-11 05:11:00,DEV02852,success,1,none,-17.6816,15.7647,0
AUTH000048,ACC100416,2026-06-07 07:13:00,DEV04020,success,1,bad_password,-22.98,14.5627,0
AUTH000049,ACC100726,2026-06-08 15:25:00,DEV04640,success,1,none,-17.7825,15.698,0
AUTH000050,ACC100663,2026-06-28 05:39:00,DEV02674,success,1,none,-23.0476,14.5053,0
