event_id,account_id,timestamp,change_type,device_model_hash,is_suspicious
DEVCH000000,ACC100012,2026-06-28 05:43:00,device_change,MODEL0104,0
DEVCH000001,ACC100546,2026-06-25 12:34:00,os_update,MODEL0019,0
DEVCH000002,ACC100358,2026-07-03 14:57:00,os_update,MODEL0163,0
DEVCH000003,ACC100197,2026-07-05 04:46:00,os_update,MODEL0135,0
DEVCH000004,ACC100050,2026-07-19 06:01:00,device_change,MODEL0084,0
DEVCH000005,ACC100499,2026-06-26 12:36:00,sim_change,MODEL0032,0
DEVCH000006,ACC100443,2026-07-08 16:04:00,os_update,MODEL0176,0
DEVCH000007,ACC100487,2026-07-24 14:51:00,os_update,MODEL0096,0
DEVCH000008,ACC100476,2026-07-01 03:57:00,device_change,MODEL0172,0
DEVCH000009,ACC100133,2026-06-03 06:43:00,device_change,MODEL0095,0
DEVCH000010,ACC100654,2026-07-08 17:24:00,sim_change,MODEL0064,0
DEVCH000011,ACC100587,2026-06-26 00:42:00,sim_change,MODEL0045,0
DEVCH000012,ACC100141,2026-07-30 09:13:00,sim_change,MODEL0159,0
DEVCH000013,ACC100365,2026-06-19 19:15:00,device_change,MODEL0085,0
DEVCH000014,ACC100218,2026-07-21 12:53:00,device_change,MODEL0083,0
DEVCH000015,ACC100664,2026-06-25 12:09:00,sim_change,MODEL0115,0
DEVCH000016,ACC100706,2026-06-09 23:57:00,sim_change,MODEL0157,0
DEVCH000017,ACC100061,2026-06-01 06:46:00,sim_change,MODEL0072,0
DEVCH000018,ACC100185,2026-07-20 10:19:00,device_change,MODEL0104,0
DEVCH000019,ACC100581,2026-07-16 20:30:00,device_change,MODEL0081,0
DEVCH000020,ACC100678,2026-07-24 23:28:00,os_update,MODEL0097,0
DEVCH000021,ACC100703,2026-06-22 02:23:00,os_update,MODEL0134,0
DEVCH000022,ACC100511,2026-06-10 17:47:00,sim_change,MODEL0119,0
DEVCH000023,ACC100147,2026-06-24 15:17:00,device_change,MODEL0098,0
DEVCH000024,ACC100065,2026-06-21 18:08:00,device_change,MODEL0032,0
DEVCH000025,ACC100704,2026-06-09 18:49:00,os_update,MODEL0014,0
DEVCH000026,ACC100011,2026-07-08 00:23:00,device_change,MODEL0125,0
DEVCH000027,ACC100708,2026-07-01 23:01:00,device_change,MODEL0100,0
DEVCH000028,ACC100720,2026-06-06 05:50:00,sim_change,MODEL0003,0
DEVCH000029,ACC100480,2026-07-09 16:37:00,device_change,MODEL0167,0
DEVCH000030,ACC100187,2026-06-28 05:19:00,sim_change,MODEL0126,0
DEVCH000031,ACC100792,2026-06-11 01:11:00,device_change,MODEL0101,0
DEVCH000032,ACC100398,2026-07-06 20:17:00,sim_change,MODEL0178,0
DEVCH000033,ACC100600,2026-07-19 22:46:00,os_update,MODEL0195,0
DEVCH000034,ACC100542,2026-07-30 01:57:00,os_update,MODEL0110,0
DEVCH000035,ACC100338,2026-06-16 11:05:00,device_change,MODEL0059,0
DEVCH000036,ACC100203,2026-06-10 02:39:00,device_change,MODEL0174,0
DEVCH000037,ACC100197,2026-07-04 04:00:00,device_change,MODEL0061,0
DEVCH000038,ACC100590,2026-07-21 14:13:00,os_update,MODEL0142,0
DEVCH000039,ACC100538,2026-07-02 05:54:00,os_update,MODEL0192,0
DEVCH000040,ACC100511,2026-06-19 10:11:00,sim_change,MODEL0087,0
DEVCH000041,ACC100795,2026-06-06 22:22:00,device_change,MODEL0176,0
DEVCH000042,ACC100016,2026-06-22 23:19:00,sim_change,MODEL0079,0
DEVCH000043,ACC100340,2026-06-25 07:57:00,os_update,MODEL0167,0
DEVCH000044,ACC100019,2026-07-19 13:31:00,sim_change,MODEL0199,0
DEVCH000045,ACC100519,2026-07-15 22:04:00,os_update,MODEL0171,0
DEVCH000046,ACC100723,2026-06-15 14:08:00,device_change,MODEL0067,0
DEVCH000047,ACC100511,2026-07-12 13:47:00,sim_change,MODEL0198,0
DEVCH000048,ACC100671,2026-07-18 06:00:00,os_update,MODEL0039,0
DEVCH000049,ACC100308,2026-07-22 10:39:00,sim_change,MODEL0086,0
DEVCH000050,ACC100235,2026-06-09 12:08:00,device_change,MODEL0085,0
DEVCH000051,ACC100389,2026-06-18 02:44:00,sim_change,MODEL0142,0
DEVCH000052,ACC100747,2026-06-12 03:29:00,sim_change,MODEL0012,0
DEVCH000053,ACC100750,2026-06-22 09:57:00,sim_change,MODEL0154,0
DEVCH000054,ACC100297,2026-06-28 20:06:00,device_change,MODEL0194,0
DEVCH000055,ACC100556,2026-07-17 00:15:00,sim_change,MODEL0057,0
DEVCH000056,ACC100244,2026-07-07 08:39:00,device_change,MODEL0054,0
DEVCH000057,ACC100486,2026-07-22 04:48:00,device_change,MODEL0186,0
DEVCH000058,ACC100185,2026-06-22 12:32:00,device_change,MODEL0004,0
DEVCH000059,ACC100673,2026-07-26 23:49:00,sim_change,MODEL0072,0
DEVCH000060,ACC100132,2026-06-25 01:10:00,os_update,MODEL0048,0
DEVCH000061,ACC100607,2026-07-06 01:32:00,sim_change,MODEL0061,0
DEVCH000062,ACC100739,2026-06-26 11:39:00,sim_change,MODEL0078,0
DEVCH000063,ACC100537,2026-06-06 23:11:00,device_change,MODEL0138,0
DEVCH000064,ACC100232,2026-06-13 11:49:00,sim_change,MODEL0136,0
DEVCH000065,ACC100792,2026-06-15 01:36:00,sim_change,MODEL0058,0
DEVCH000066,ACC100210,2026-06-03 08:13:00,sim_change,MODEL0078,0
DEVCH000067,ACC100756,2026-06-02 21:28:00,device_change,MODEL0091,0
DEVCH000068,ACC100307,2026-06-26 07:58:00,os_update,MODEL0107,0
DEVCH000069,ACC100489,2026-07-25 06:17:00,os_update,MODEL0004,0
DEVCH000070,ACC100406,2026-07-29 16:22:00,device_change,MODEL0100,0
DEVCH000071,ACC100321,2026-06-21 01:23:00,os_update,MODEL0048,0
DEVCH000072,ACC100676,2026-07-30 22:56:00,os_update,MODEL0179,0
DEVCH000073,ACC100285,2026-06-02 02:13:00,device_change,MODEL0038,0
DEVCH000074,ACC100242,2026-07-16 07:12:00,sim_change,MODEL0146,1
DEVCH000075,ACC100605,2026-06-14 02:50:00,device_change,MODEL0118,0
DEVCH000076,ACC100435,2026-07-02 02:45:00,device_change,MODEL0153,0
DEVCH000077,ACC100647,2026-07-07 10:04:00,sim_change,MODEL0048,0
DEVCH000078,ACC100729,2026-06-30 01:59:00,device_change,MODEL0118,0
DEVCH000079,ACC100245,2026-07-20 00:29:00,sim_change,MODEL0133,0
DEVCH000080,ACC100022,2026-06-12 20:22:00,device_change,MODEL0143,0
DEVCH000081,ACC100208,2026-07-23 09:26:00,os_update,MODEL0142,0
DEVCH000082,ACC100706,2026-07-11 18:25:00,sim_change,MODEL0039,0
DEVCH000083,ACC100540,2026-07-26 07:44:00,os_update,MODEL0165,0
DEVCH000084,ACC100451,2026-06-05 19:41:00,os_update,MODEL0107,0
DEVCH000085,ACC100209,2026-06-30 07:25:00,os_update,MODEL0070,0
DEVCH000086,ACC100511,2026-07-12 23:30:00,device_change,MODEL0024,0
DEVCH000087,ACC100381,2026-07-13 07:46:00,device_change,MODEL0020,0
DEVCH000088,ACC100223,2026-07-11 12:39:00,device_change,MODEL0182,0
DEVCH000089,ACC100003,2026-06-18 08:31:00,sim_change,MODEL0112,0
DEVCH000090,ACC100398,2026-07-09 03:08:00,device_change,MODEL0060,0
DEVCH000091,ACC100070,2026-07-15 23:51:00,device_change,MODEL0135,0
DEVCH000092,ACC100665,2026-07-19 06:34:00,os_update,MODEL0085,0
DEVCH000093,ACC100082,2026-07-14 04:31:00,device_change,MODEL0022,0
DEVCH000094,ACC100137,2026-06-28 12:15:00,sim_change,MODEL0037,0
DEVCH000095,ACC100355,2026-06-08 08:13:00,device_change,MODEL0183,0
DEVCH000096,ACC100000,2026-07-04 11:00:00,device_change,MODEL0090,0
DEVCH000097,ACC100138,2026-06-10 22:57:00,device_change,MODEL0045,0
DEVCH000098,ACC100026,2026-06-28 01:14:00,sim_change,MODEL0179,0
DEVCH000099,ACC100265,2026-07-13 16:24:00,sim_change,MODEL0021,0
DEVCH000100,ACC100508,2026-06-30 11:37:00,device_change,MODEL0094,0
DEVCH000101,ACC100482,2026-07-18 14:33:00,os_update,MODEL0054,0
DEVCH000102,ACC100299,2026-07-20 01:30:00,sim_change,MODEL0152,0
DEVCH000103,ACC100388,2026-06-05 03:41:00,device_change,MODEL0136,0
DEVCH000104,ACC100467,2026-06-22 02:58:00,sim_change,MODEL0041,0
DEVCH000105,ACC100110,2026-07-10 09:48:00,os_update,MODEL0004,0
DEVCH000106,ACC100104,2026-07-21 10:09:00,os_update,MODEL0062,0
DEVCH000107,ACC100037,2026-06-07 19:46:00,os_update,MODEL0081,0
DEVCH000108,ACC100562,2026-06-19 13:45:00,device_change,MODEL0196,0
DEVCH000109,ACC100232,2026-06-11 04:43:00,os_update,MODEL0054,0
