transaction_id,account_id,timestamp,amount,currency,channel,counterparty_id,is_fraud
TXN000000,ACC100563,2026-06-24 12:48:00,1412.55,N$,p2p_transfer,CP00746,1
TXN000001,ACC100623,2026-06-24 08:40:00,949.71,N$,p2p_transfer,CP00387,0
TXN000002,ACC100700,2026-07-04 22:17:00,349.05,N$,merchant_payment,CP01850,0
TXN000003,ACC100748,2026-07-23 16:14:00,805.02,N$,p2p_transfer,CP01804,0
TXN000004,ACC100456,2026-07-23 20:33:00,320.76,N$,bill_payment,CP01467,0
TXN000005,ACC100552,2026-06-29 13:07:00,532.32,N$,merchant_payment,CP03864,0
TXN000006,ACC100404,2026-07-11 10:04:00,205.72,N$,merchant_payment,CP03774,0
TXN000007,ACC100241,2026-06-07 15:39:00,176.53,N$,p2p_transfer,CP01693,0
TXN000008,ACC100696,2026-06-25 07:31:00,333.44,N$,p2p_transfer,CP03730,0
TXN000009,ACC100583,2026-06-05 10:34:00,355.37,N$,p2p_transfer,CP03327,0
TXN000010,ACC100043,2026-06-21 10:51:00,729.07,N$,p2p_transfer,CP03454,0
TXN000011,ACC100152,2026-07-15 18:56:00,104.97,N$,p2p_transfer,CP02447,0
TXN000012,ACC100371,2026-06-21 18:56:00,831.73,N$,cash_out,CP03480,0
TXN000013,ACC100154,2026-06-28 02:11:00,744.14,N$,cash_out,CP00317,0
TXN000014,ACC100242,2026-07-02 19:32:00,729.51,N$,p2p_transfer,CP01798,0
TXN000015,ACC100779,2026-07-16 08:17:00,982.2,N$,p2p_transfer,CP03598,0
TXN000016,ACC100142,2026-06-17 06:36:00,74.77,N$,p2p_transfer,CP02093,0
TXN000017,ACC100614,2026-06-16 10:01:00,389.17,N$,p2p_transfer,CP00402,0
TXN000018,ACC100778,2026-07-28 22:18:00,727.61,N$,merchant_payment,CP01097,0
TXN000019,ACC100072,2026-06-05 14:33:00,107.4,N$,merchant_payment,CP03091,0
TXN000020,ACC100473,2026-06-28 00:22:00,300.18,N$,bill_payment,CP02702,0
TXN000021,ACC100051,2026-06-12 03:40:00,244.67,N$,p2p_transfer,CP03658,0
TXN000022,ACC100079,2026-07-08 08:55:00,121.69,N$,cash_out,CP00107,0
TXN000023,ACC100280,2026-06-17 02:08:00,187.21,N$,merchant_payment,CP00090,0
TXN000024,ACC100366,2026-07-19 15:53:00,665.95,N$,cash_out,CP03955,0
TXN000025,ACC100390,2026-07-05 15:46:00,953.38,N$,cash_out,CP03302,0
TXN000026,ACC100331,2026-07-13 11:58:00,657.07,N$,cash_out,CP00029,0
TXN000027,ACC100437,2026-06-24 18:01:00,230.24,N$,merchant_payment,CP00125,0
TXN000028,ACC100309,2026-07-04 03:31:00,282.63,N$,bill_payment,CP00695,0
TXN000029,ACC100272,2026-07-25 10:06:00,383.85,N$,merchant_payment,CP03573,0
TXN000030,ACC100486,2026-06-30 22:00:00,491.94,N$,p2p_transfer,CP02189,0
TXN000031,ACC100521,2026-06-19 06:32:00,329.38,N$,cash_out,CP03305,0
TXN000032,ACC100746,2026-07-04 21:04:00,207.95,N$,merchant_payment,CP01913,0
TXN000033,ACC100355,2026-07-13 09:52:00,168.88,N$,p2p_transfer,CP00852,0
TXN000034,ACC100169,2026-07-09 23:37:00,199.64,N$,bill_payment,CP01694,0
TXN000035,ACC100749,2026-06-11 15:29:00,1733.15,N$,p2p_transfer,CP01324,0
TXN000036,ACC100786,2026-07-15 22:18:00,601.39,N$,p2p_transfer,CP03272,0
TXN000037,ACC100328,2026-06-24 21:28:00,199.77,N$,merchant_payment,CP00979,0
TXN000038,ACC100781,2026-06-12 23:17:00,218.89,N$,merchant_payment,CP00298,0
TXN000039,ACC100631,2026-07-28 20:11:00,323.95,N$,merchant_payment,CP01285,0
TXN000040,ACC100561,2026-06-22 20:42:00,230.34,N$,merchant_payment,CP02457,0
TXN000041,ACC100129,2026-06-02 16:39:00,718.5,N$,bill_payment,CP01883,0
TXN000042,ACC100717,2026-06-28 12:58:00,322.12,N$,p2p_transfer,CP03566,0
TXN000043,ACC100601,2026-07-05 02:59:00,1944.81,N$,p2p_transfer,CP03530,0
TXN000044,ACC100108,2026-06-15 21:19:00,177.64,N$,merchant_payment,CP00256,0
TXN000045,ACC100510,2026-07-12 04:37:00,595.4,N$,merchant_payment,CP00893,0
TXN000046,ACC100559,2026-07-01 19:50:00,670.02,N$,merchant_payment,CP02322,0
TXN000047,ACC100072,2026-06-09 21:10:00,540.69,N$,p2p_transfer,CP01068,0
TXN000048,ACC100487,2026-07-16 04:17:00,629.78,N$,p2p_transfer,CP00559,0
TXN000049,ACC100075,2026-07-21 04:31:00,94.82,N$,merchant_payment,CP00706,0
TXN000050,ACC100060,2026-06-23 11:44:00,181.16,N$,p2p_transfer,CP01253,0
TXN000051,ACC100296,2026-06-21 03:17:00,719.92,N$,merchant_payment,CP01900,0
TXN000052,ACC100480,2026-07-02 07:00:00,1023.51,N$,merchant_payment,CP03667,0
TXN000053,ACC100326,2026-06-12 23:23:00,966.05,N$,merchant_payment,CP00449,0
TXN000054,ACC100546,2026-07-19 17:17:00,399.03,N$,merchant_payment,CP02555,0
TXN000055,ACC100320,2026-07-15 20:18:00,825.94,N$,merchant_payment,CP01266,0
TXN000056,ACC100286,2026-07-10 19:30:00,852.29,N$,cash_out,CP00155,0
TXN000057,ACC100145,2026-06-12 00:20:00,700.18,N$,merchant_payment,CP00859,0
TXN000058,ACC100646,2026-06-16 03:07:00,525.68,N$,bill_payment,CP02315,0
TXN000059,ACC100538,2026-06-07 21:58:00,142.64,N$,p2p_transfer,CP03794,0
TXN000060,ACC100258,2026-06-22 13:51:00,473.52,N$,cash_out,CP00960,0
TXN000061,ACC100162,2026-07-30 14:49:00,100.52,N$,merchant_payment,CP00081,0
TXN000062,ACC100439,2026-06-14 15:03:00,359.15,N$,p2p_transfer,CP03196,0
TXN000063,ACC100484,2026-07-24 23:16:00,1086.79,N$,p2p_transfer,CP03561,0
TXN000064,ACC100429,2026-06-04 22:46:00,251.89,N$,p2p_transfer,CP01941,0
TXN000065,ACC100492,2026-07-10 18:44:00,261.05,N$,bill_payment,CP00281,0
TXN000066,ACC100217,2026-06-21 02:23:00,381.93,N$,p2p_transfer,CP02673,0
TXN000067,ACC100493,2026-06-02 01:44:00,834.88,N$,p2p_transfer,CP03619,0
TXN000068,ACC100285,2026-07-04 07:31:00,538.3,N$,p2p_transfer,CP00425,0
TXN000069,ACC100354,2026-07-17 09:50:00,631.82,N$,p2p_transfer,CP02258,0
TXN000070,ACC100542,2026-07-20 09:26:00,418.24,N$,p2p_transfer,CP02457,0
TXN000071,ACC100712,2026-06-20 23:59:00,156.39,N$,merchant_payment,CP03570,0
TXN000072,ACC100638,2026-07-11 14:07:00,384.81,N$,merchant_payment,CP00806,0
TXN000073,ACC100401,2026-06-01 20:00:00,403.93,N$,merchant_payment,CP01072,0
TXN000074,ACC100264,2026-06-10 22:13:00,1020.58,N$,cash_out,CP00059,0
TXN000075,ACC100411,2026-06-01 08:53:00,1116.7,N$,merchant_payment,CP03290,0
TXN000076,ACC100336,2026-07-06 06:15:00,383.76,N$,cash_out,CP01156,0
TXN000077,ACC100316,2026-07-15 00:14:00,238.66,N$,p2p_transfer,CP00425,0
TXN000078,ACC100218,2026-06-30 20:02:00,1392.26,N$,merchant_payment,CP02260,0
TXN000079,ACC100383,2026-06-17 03:40:00,550.69,N$,p2p_transfer,CP03406,0
TXN000080,ACC100555,2026-07-08 10:21:00,3208.58,N$,p2p_transfer,CP02108,0
TXN000081,ACC100442,2026-07-18 13:58:00,156.83,N$,p2p_transfer,CP01111,0
TXN000082,ACC100052,2026-07-07 02:56:00,1126.76,N$,cash_out,CP01557,0
TXN000083,ACC100621,2026-07-05 03:22:00,107.18,N$,merchant_payment,CP01393,0
TXN000084,ACC100755,2026-06-08 23:54:00,883.81,N$,merchant_payment,CP01861,0
TXN000085,ACC100679,2026-07-26 03:41:00,117.97,N$,merchant_payment,CP03810,0
TXN000086,ACC100293,2026-06-09 02:04:00,330.44,N$,merchant_payment,CP00084,0
TXN000087,ACC100601,2026-06-23 15:17:00,100.79,N$,p2p_transfer,CP02580,0
TXN000088,ACC100525,2026-06-14 17:49:00,385.15,N$,p2p_transfer,CP01807,0
TXN000089,ACC100570,2026-07-17 18:37:00,93.18,N$,p2p_transfer,CP02781,0
TXN000090,ACC100209,2026-07-11 10:40:00,153.16,N$,merchant_payment,CP01400,0
TXN000091,ACC100614,2026-06-05 18:59:00,1384.16,N$,bill_payment,CP03213,0
TXN000092,ACC100731,2026-07-26 21:21:00,355.95,N$,p2p_transfer,CP01555,0
TXN000093,ACC100719,2026-06-01 11:46:00,602.72,N$,merchant_payment,CP00147,0
TXN000094,ACC100622,2026-06-27 12:25:00,163.62,N$,merchant_payment,CP03828,0
TXN000095,ACC100205,2026-07-05 12:58:00,134.11,N$,p2p_transfer,CP02427,0
TXN000096,ACC100638,2026-07-21 13:50:00,318.76,N$,merchant_payment,CP03593,0
TXN000097,ACC100243,2026-06-06 09:20:00,376.08,N$,cash_out,CP03240,0
TXN000098,ACC100557,2026-07-07 15:12:00,709.46,N$,cash_out,CP03905,0
TXN000099,ACC100497,2026-06-18 18:13:00,325.82,N$,cash_out,CP00306,0
TXN000100,ACC100301,2026-07-06 16:11:00,383.63,N$,merchant_payment,CP01392,0
TXN000101,ACC100426,2026-07-17 13:59:00,1163.2,N$,merchant_payment,CP03206,0
TXN000102,ACC100212,2026-07-05 23:43:00,1022.17,N$,p2p_transfer,CP03199,0
TXN000103,ACC100787,2026-06-08 21:50:00,97.65,N$,p2p_transfer,CP03969,0
TXN000104,ACC100532,2026-07-11 19:28:00,208.9,N$,p2p_transfer,CP00830,0
TXN000105,ACC100457,2026-06-12 21:35:00,1562.25,N$,merchant_payment,CP03917,0
TXN000106,ACC100567,2026-06-07 12:14:00,293.02,N$,p2p_transfer,CP03817,0
TXN000107,ACC100754,2026-06-02 10:47:00,525.33,N$,merchant_payment,CP00495,0
TXN000108,ACC100733,2026-07-11 06:48:00,260.36,N$,cash_out,CP00040,0
TXN000109,ACC100118,2026-06-16 01:57:00,1336.47,N$,p2p_transfer,CP03647,0
TXN000110,ACC100601,2026-07-18 18:27:00,823.57,N$,merchant_payment,CP00863,0
TXN000111,ACC100473,2026-06-26 13:08:00,508.02,N$,merchant_payment,CP02487,0
TXN000112,ACC100467,2026-06-25 03:18:00,809.9,N$,p2p_transfer,CP00687,0
TXN000113,ACC100323,2026-07-17 18:47:00,161.87,N$,p2p_transfer,CP01045,0
TXN000114,ACC100255,2026-06-28 04:05:00,1521.87,N$,p2p_transfer,CP02446,0
TXN000115,ACC100429,2026-06-13 04:00:00,119.9,N$,merchant_payment,CP00620,0
TXN000116,ACC100351,2026-07-10 01:51:00,240.65,N$,cash_out,CP01402,0
TXN000117,ACC100623,2026-06-28 17:45:00,307.26,N$,bill_payment,CP02288,0
TXN000118,ACC100499,2026-06-27 23:48:00,470.15,N$,merchant_payment,CP01074,0
TXN000119,ACC100728,2026-06-08 13:02:00,1468.64,N$,p2p_transfer,CP00415,0
TXN000120,ACC100530,2026-06-28 04:16:00,118.52,N$,merchant_payment,CP01775,0
TXN000121,ACC100424,2026-06-24 22:39:00,2682.32,N$,cash_out,CP00209,1
TXN000122,ACC100325,2026-07-12 01:30:00,1713.41,N$,p2p_transfer,CP03322,0
TXN000123,ACC100493,2026-07-14 01:34:00,329.74,N$,p2p_transfer,CP03454,0
TXN000124,ACC100721,2026-06-28 13:29:00,284.25,N$,merchant_payment,CP01096,0
TXN000125,ACC100334,2026-06-10 23:52:00,475.95,N$,cash_out,CP00630,0
TXN000126,ACC100257,2026-06-17 12:23:00,140.28,N$,bill_payment,CP01683,0
TXN000127,ACC100651,2026-07-21 22:59:00,910.53,N$,merchant_payment,CP01577,0
TXN000128,ACC100237,2026-06-13 03:02:00,1132.03,N$,p2p_transfer,CP03948,0
TXN000129,ACC100126,2026-07-30 06:57:00,1088.79,N$,merchant_payment,CP00827,0
TXN000130,ACC100168,2026-07-09 05:02:00,1798.33,N$,merchant_payment,CP01948,0
TXN000131,ACC100534,2026-06-07 18:03:00,535.85,N$,p2p_transfer,CP02428,0
TXN000132,ACC100044,2026-07-24 17:43:00,188.29,N$,cash_out,CP01804,0
TXN000133,ACC100417,2026-06-01 13:15:00,378.02,N$,p2p_transfer,CP01506,0
TXN000134,ACC100124,2026-06-12 22:18:00,706.16,N$,merchant_payment,CP00147,0
TXN000135,ACC100643,2026-06-09 15:29:00,1608.79,N$,p2p_transfer,CP03381,0
TXN000136,ACC100363,2026-07-07 09:48:00,283.39,N$,p2p_transfer,CP01879,0
TXN000137,ACC100341,2026-07-14 06:58:00,559.16,N$,p2p_transfer,CP03984,0
TXN000138,ACC100640,2026-07-23 03:12:00,539.4,N$,bill_payment,CP02266,0
TXN000139,ACC100376,2026-07-18 00:22:00,551.98,N$,merchant_payment,CP03240,0
TXN000140,ACC100053,2026-07-12 01:12:00,406.98,N$,merchant_payment,CP01237,0
TXN000141,ACC100522,2026-06-05 19:55:00,659.8,N$,merchant_payment,CP01916,0
TXN000142,ACC100098,2026-06-24 23:06:00,147.88,N$,p2p_transfer,CP00194,0
TXN000143,ACC100633,2026-07-03 21:48:00,150.85,N$,cash_out,CP03310,0
TXN000144,ACC100473,2026-06-17 13:02:00,576.91,N$,p2p_transfer,CP01044,0
TXN000145,ACC100328,2026-07-24 00:34:00,49.91,N$,cash_out,CP00895,0
TXN000146,ACC100289,2026-07-02 18:59:00,222.85,N$,p2p_transfer,CP02204,0
TXN000147,ACC100078,2026-06-20 10:29:00,400.42,N$,p2p_transfer,CP02688,0
TXN000148,ACC100145,2026-07-27 07:30:00,1271.21,N$,cash_out,CP03737,0
TXN000149,ACC100015,2026-07-18 11:35:00,388.86,N$,p2p_transfer,CP00932,0
TXN000150,ACC100154,2026-07-09 02:02:00,169.13,N$,merchant_payment,CP03040,0
TXN000151,ACC100551,2026-07-08 18:08:00,43.69,N$,merchant_payment,CP02982,0
TXN000152,ACC100370,2026-06-09 06:34:00,601.38,N$,merchant_payment,CP00371,0
TXN000153,ACC100000,2026-07-11 06:38:00,250.69,N$,merchant_payment,CP03955,0
TXN000154,ACC100304,2026-06-25 17:47:00,438.79,N$,bill_payment,CP01521,0
TXN000155,ACC100466,2026-06-21 03:42:00,367.27,N$,p2p_transfer,CP00260,0
TXN000156,ACC100607,2026-07-05 01:46:00,790.78,N$,p2p_transfer,CP03641,0
TXN000157,ACC100125,2026-07-02 07:33:00,408.13,N$,p2p_transfer,CP03195,0
TXN000158,ACC100073,2026-07-26 22:31:00,667.77,N$,p2p_transfer,CP02459,0
TXN000159,ACC100123,2026-07-08 09:31:00,234.07,N$,p2p_transfer,CP03944,0
TXN000160,ACC100508,2026-07-12 00:31:00,263.77,N$,bill_payment,CP03563,0
TXN000161,ACC100448,2026-06-11 23:32:00,391.57,N$,merchant_payment,CP02727,0
TXN000162,ACC100573,2026-06-14 06:40:00,991.04,N$,p2p_transfer,CP00476,0
TXN000163,ACC100176,2026-06-17 18:42:00,1445.17,N$,merchant_payment,CP01296,0
TXN000164,ACC100741,2026-07-13 10:42:00,366.4,N$,cash_out,CP02721,0
TXN000165,ACC100673,2026-06-24 08:48:00,378.18,N$,bill_payment,CP00217,0
TXN000166,ACC100244,2026-06-26 00:44:00,241.8,N$,p2p_transfer,CP03437,0
TXN000167,ACC100784,2026-07-08 16:08:00,867.15,N$,p2p_transfer,CP00256,0
