account_id,n_logins,n_failed,mean_mfa,lat_std,lon_std,failure_rate,geo_dispersion,n_txns,total_amount,mean_amount,max_amount,n_cashout,n_device_events,n_sim_changes,label_account_takeover
ACC100000,16,2,0.6875,0.05557403133058939,0.06192954296348908,0.125,0.11750357429407847,18,8504.93,472.49611111111113,977.97,3,2.0,1.0,0
ACC100001,18,2,0.8888888888888888,0.07376625355403847,0.06691658962709096,0.1111111111111111,0.14068284318112945,15,8714.96,580.9973333333332,1617.04,2,2.0,1.0,0
ACC100002,19,3,0.8421052631578947,0.04179758170345878,0.05352651854113496,0.15789473684210525,0.09532410024459373,11,4703.77,427.6154545454546,1076.45,1,1.0,1.0,0
ACC100003,19,1,0.47368421052631576,0.049362377652270584,0.054686793470789044,0.05263157894736842,0.10404917112305963,11,4179.03,379.91181818181815,806.82,1,3.0,0.0,0
ACC100004,20,1,0.9,0.055305184633706976,0.05922596425644123,0.05,0.1145311488901482,14,6430.76,459.34000000000003,1418.02,1,0.0,0.0,0
ACC100005,14,0,0.7857142857142857,0.044170628200246316,0.056277425548556755,0.0,0.10044805374880307,16,8192.33,512.020625,1630.5,4,2.0,0.0,0
ACC100006,14,0,0.8571428571428571,0.04004643458632646,0.04847992447315784,0.0,0.0885263590594843,13,5248.13,403.7023076923077,743.31,3,2.0,0.0,0
ACC100007,13,1,0.9230769230769231,0.05277646862973724,0.050526355143651405,0.07692307692307693,0.10330282377338865,9,3173.04,352.56,1530.34,1,2.0,0.0,0
ACC100008,21,1,0.5714285714285714,0.04817897783018964,0.05758188000371226,0.047619047619047616,0.1057608578339019,8,4516.02,564.5025,1430.05,0,2.0,1.0,0
ACC100009,12,0,0.8333333333333334,0.06297701360356993,0.05752982559797272,0.0,0.12050683920154265,8,3662.92,457.865,1381.88,2,2.0,0.0,0
ACC100010,13,1,0.9230769230769231,0.05158199969279682,0.052831755213834555,0.07692307692307693,0.10441375490663138,11,6179.87,561.8063636363636,1512.33,1,1.0,0.0,0
ACC100011,13,1,0.6923076923076923,0.05869124776406244,0.06364444705569913,0.07692307692307693,0.12233569481976157,15,4544.53,302.96866666666665,733.1,1,3.0,1.0,0
ACC100012,11,1,0.5454545454545454,0.03811640782464351,0.04144723918867888,0.09090909090909091,0.07956364701332239,8,4365.09,545.63625,1033.47,1,3.0,1.0,0
ACC100013,15,2,0.8,0.049124416390571864,0.05742676661461509,0.13333333333333333,0.10655118300518696,12,4312.74,359.395,974.61,0,2.0,0.0,0
ACC100014,12,1,0.9166666666666666,0.049286868218500944,0.049797033500546026,0.08333333333333333,0.09908390171904696,13,4056.56,312.0430769230769,572.67,2,1.0,0.0,0
ACC100015,9,1,0.5555555555555556,0.03914284736704776,0.04339337827108849,0.1111111111111111,0.08253622563813626,11,7038.32,639.8472727272728,1466.4,2,1.0,1.0,0
ACC100016,9,0,1.0,0.04086644235936266,0.060112702022485476,0.0,0.10097914438184813,11,3987.68,362.5163636363636,1144.33,5,5.0,1.0,0
ACC100017,15,1,0.7333333333333333,0.045376782399729275,0.031907251004542315,0.06666666666666667,0.07728403340427159,11,5443.5,494.8636363636364,1237.61,2,0.0,0.0,0
ACC100018,23,2,0.7391304347826086,0.03525336751217698,0.04967678456684902,0.08695652173913043,0.084930152079026,11,4838.92,439.9018181818182,792.66,1,1.0,0.0,0
ACC100019,16,2,0.75,0.034104261097405435,0.04950767238519712,0.125,0.08361193348260255,9,4646.8,516.3111111111111,1070.5,0,3.0,0.0,0
ACC100020,16,2,0.75,0.05814473285116488,0.055922493610947185,0.125,0.11406722646211206,6,2734.6000000000004,455.7666666666667,1035.65,1,1.0,1.0,0
ACC100021,12,1,0.8333333333333334,0.04035641963877127,0.04547129880651665,0.08333333333333333,0.08582771844528791,11,3890.7400000000002,353.7036363636364,1108.67,1,0.0,0.0,0
ACC100022,16,0,0.6875,0.03647764098275363,0.068460996194913,0.0,0.10493863717766663,13,8241.23,633.9407692307692,1322.16,3,3.0,2.0,0
ACC100023,11,0,0.8181818181818182,0.05600048863423183,0.03324780512236381,0.0,0.08924829375659564,15,8867.02,591.1346666666667,2317.36,1,1.0,0.0,0
ACC100024,16,1,0.9375,0.047781035289467456,0.04548918552799246,0.0625,0.09327022081745992,6,3250.76,541.7933333333334,1207.66,0,4.0,2.0,0
ACC100025,15,0,0.5333333333333333,0.04336902229977173,0.06371856274348224,0.0,0.10708758504325397,7,4577.89,653.9842857142858,893.9,0,2.0,1.0,0
ACC100026,19,0,0.7894736842105263,0.05155134498333328,0.05439855304233133,0.0,0.10594989802566461,12,5329.95,444.16249999999997,805.72,3,2.0,1.0,0
ACC100027,7,0,0.5714285714285714,0.0640574964945,0.059170838216457855,0.0,0.12322833471095786,6,2260.16,376.6933333333333,644.6,2,3.0,1.0,0
ACC100028,18,1,0.6111111111111112,0.05092045186661895,0.03480221238553826,0.05555555555555555,0.08572266425215722,11,4683.92,425.8109090909091,783.8,1,3.0,0.0,0
ACC100029,20,3,0.75,0.054430649985966084,0.053655041211132855,0.15,0.10808569119709893,9,3393.18,377.02,733.25,1,2.0,0.0,0
ACC100030,13,2,0.8461538461538461,0.05113862883353795,0.05626839186503302,0.15384615384615385,0.10740702069857097,9,4997.57,555.2855555555556,1901.5,1,1.0,1.0,0
ACC100031,14,0,0.7857142857142857,0.05399999796499794,0.043251437757974194,0.0,0.09725143572297212,11,8900.04,809.0945454545455,3362.55,4,2.0,0.0,0
ACC100032,21,0,0.8095238095238095,0.04083136224591511,0.03689735053076764,0.0,0.07772871277668275,9,3103.15,344.7944444444445,813.34,1,1.0,0.0,0
ACC100033,23,1,0.8260869565217391,0.05259107966261061,0.037757694815581964,0.043478260869565216,0.09034877447819258,11,6319.99,574.5445454545454,1376.39,1,1.0,0.0,0
ACC100034,14,0,0.7142857142857143,0.03914555607523747,0.06379794684766806,0.0,0.10294350292290552,9,8985.130000000001,998.3477777777779,3674.26,1,3.0,1.0,0
ACC100035,19,2,0.8421052631578947,0.05863914924827445,0.0468730417914572,0.10526315789473684,0.10551219103973165,13,8294.55,638.0423076923076,3231.33,1,4.0,1.0,0
ACC100036,14,0,1.0,0.06431566939455992,0.052144397990178906,0.0,0.11646006738473882,9,4743.92,527.1022222222223,1086.16,1,2.0,2.0,0
ACC100037,23,2,0.8260869565217391,0.04656764980010414,0.04329472258777699,0.08695652173913043,0.08986237238788113,5,2095.46,419.092,756.88,2,1.0,0.0,0
ACC100038,18,1,0.7777777777777778,0.05318788008781064,0.0443444335948688,0.05555555555555555,0.09753231368267945,8,6436.3,804.5375,2484.0,1,1.0,0.0,0
ACC100039,21,1,0.8571428571428571,0.03901169421743049,0.04243553317905259,0.047619047619047616,0.08144722739648308,6,2827.48,471.24666666666667,1066.63,0,2.0,1.0,0
ACC100040,12,0,0.8333333333333334,0.045757068505115336,0.05947431582140466,0.0,0.10523138432651999,11,4093.46,372.13272727272727,817.3,1,1.0,0.0,0
ACC100041,12,2,0.8333333333333334,0.055348605276561415,0.04079581362212235,0.16666666666666666,0.09614441889868376,9,5594.7,621.6333333333333,2704.93,2,2.0,1.0,0
ACC100042,21,0,0.8571428571428571,0.04438907845083389,0.045852747749624286,0.0,0.09024182620045818,11,5287.4800000000005,480.68000000000006,2201.08,1,2.0,0.0,0
ACC100043,15,0,0.7333333333333333,0.04737814143372748,0.05661829840507273,0.0,0.10399643983880022,7,3712.03,530.2900000000001,952.9,0,1.0,1.0,0
ACC100044,13,2,0.8461538461538461,0.04753336480021974,0.045864801318662315,0.15384615384615385,0.09339816611888205,12,4752.58,396.04833333333335,875.05,2,4.0,0.0,0
ACC100045,13,0,0.7692307692307693,0.06184625892962104,0.04114624324690331,0.0,0.10299250217652435,9,5924.94,658.3266666666666,1411.02,1,0.0,0.0,0
ACC100046,11,1,0.8181818181818182,0.03206475550280314,0.0374567338283903,0.09090909090909091,0.06952148933119344,7,2814.44,402.0628571428571,856.47,0,0.0,0.0,0
ACC100047,17,0,0.8235294117647058,0.05566512465575892,0.05115372952305279,0.0,0.1068188541788117,9,4676.33,519.5922222222222,1349.0,2,2.0,0.0,0
ACC100048,18,2,0.7777777777777778,0.05957445059250395,0.04514224323383894,0.1111111111111111,0.10471669382634288,13,5755.94,442.76461538461535,1275.69,1,1.0,0.0,0
ACC100049,7,0,1.0,0.05915569448900242,0.04403021689703506,0.0,0.10318591138603747,13,10304.42,792.6476923076923,2198.77,3,1.0,1.0,0
ACC100050,14,1,0.7142857142857143,1.9296512469304445,1.6870214993874857,0.07142857142857142,3.6166727463179305,14,73551.33,5253.666428571429,28384.25,8,4.0,4.0,1
ACC100051,15,2,0.8666666666666667,0.03868524758809721,0.044617131025564624,0.13333333333333333,0.08330237861366183,13,7341.75,564.75,1356.28,2,2.0,0.0,0
ACC100052,15,1,0.8,0.04269536274585332,0.07423036985980754,0.06666666666666667,0.11692573260566086,17,10302.67,606.0394117647058,2491.08,1,5.0,3.0,0
ACC100053,12,0,0.6666666666666666,0.04201771181371738,0.06329451302275638,0.0,0.10531222483647376,11,5353.62,486.69272727272727,1141.54,2,1.0,0.0,0
ACC100054,16,4,0.5,3.094489705374162,2.05044124454551,0.25,5.144930949919672,12,30890.09,2574.1741666666667,15793.78,5,2.0,2.0,1
ACC100055,25,2,0.76,0.0502264246521025,0.04598142741006059,0.08,0.09620785206216309,12,6286.530000000001,523.8775,1500.43,1,3.0,2.0,0
ACC100056,23,4,0.8260869565217391,0.041265423035998554,0.05683669519728002,0.17391304347826086,0.09810211823327858,6,2697.42,449.57,942.17,0,3.0,1.0,0
ACC100057,15,0,0.7333333333333333,0.048458232383303934,0.047092823232420714,0.0,0.09555105561572465,13,7295.5,561.1923076923077,1298.3,5,1.0,0.0,0
ACC100058,10,0,0.6,0.03935920194538728,0.04877982734241196,0.0,0.08813902928779924,13,5757.5,442.88461538461536,743.99,3,1.0,0.0,0
ACC100059,18,3,0.5555555555555556,0.04382500703742174,0.0394411102337475,0.16666666666666666,0.08326611727116924,15,5233.24,348.88266666666664,1007.87,0,3.0,0.0,0
ACC100060,24,1,0.8333333333333334,0.05466326694978256,0.0560015191305336,0.041666666666666664,0.11066478608031616,9,10917.83,1213.0922222222223,2595.5,2,1.0,0.0,0
ACC100061,14,0,0.7857142857142857,0.06268283717990976,0.044563797952061404,0.0,0.10724663513197116,12,5101.83,425.1525,1217.65,3,2.0,1.0,0
ACC100062,13,1,0.7692307692307693,0.05460427568493994,0.05105871557234298,0.07692307692307693,0.10566299125728293,7,4105.97,586.5671428571429,1435.88,1,1.0,0.0,0
ACC100063,16,2,0.8125,0.04128324115182816,0.054068166851360455,0.125,0.09535140800318861,13,6377.72,490.5938461538462,1335.35,2,3.0,0.0,0
ACC100064,13,1,0.8461538461538461,0.044503903602913716,0.05547056969748975,0.07692307692307693,0.09997447330040346,11,4900.51,445.5009090909091,1027.02,1,0.0,0.0,0
ACC100065,13,4,0.6923076923076923,1.4069959290484724,1.8859737332306354,0.3076923076923077,3.292969662279108,13,16324.45,1255.7269230769232,6626.85,4,3.0,1.0,1
ACC100066,14,3,0.9285714285714286,0.04981486825136747,0.06850171089545454,0.21428571428571427,0.118316579146822,9,3147.6800000000003,349.74222222222227,709.71,1,1.0,0.0,0
ACC100067,15,2,0.6,1.6786216313505835,3.003675504634756,0.13333333333333333,4.68229713598534,7,19295.43,2756.4900000000002,11975.98,2,4.0,3.0,1
ACC100068,12,2,0.5833333333333334,0.05333232787878002,0.04878635163711966,0.16666666666666666,0.10211867951589967,6,2226.52,371.08666666666664,694.98,0,1.0,1.0,0
ACC100069,12,0,0.9166666666666666,0.04841524615868498,0.046772764672953736,0.0,0.09518801083163872,18,7655.69,425.31611111111107,1372.75,0,1.0,1.0,0
ACC100070,13,1,0.9230769230769231,0.07710756140380155,0.03410560710348626,0.07692307692307693,0.11121316850728781,9,4481.39,497.93222222222226,975.84,2,5.0,2.0,0
ACC100071,12,4,0.75,1.785824754967448,1.2837301577351785,0.3333333333333333,3.0695549127026265,14,19693.76,1406.6971428571428,7312.19,1,0.0,0.0,1
ACC100072,16,3,0.75,1.611610630795065,2.0930012936769375,0.1875,3.704611924472003,10,64369.7,6436.969999999999,58044.57,2,1.0,1.0,1
ACC100073,11,0,0.8181818181818182,0.02895135104399679,0.02681766039554527,0.0,0.05576901143954206,13,7666.89,589.7607692307693,1303.03,3,2.0,0.0,0
ACC100074,13,3,0.7692307692307693,0.03969207761809713,0.04937431077091347,0.23076923076923078,0.0890663883890106,14,9081.03,648.6450000000001,2135.89,4,4.0,3.0,0
ACC100075,11,3,0.6363636363636364,0.05104128631892921,0.03837630424197703,0.2727272727272727,0.08941759056090623,6,3964.58,660.7633333333333,2029.25,0,2.0,1.0,0
ACC100076,14,1,0.7857142857142857,0.06037696644352939,0.05630309264825724,0.07142857142857142,0.11668005909178664,11,3401.82,309.25636363636363,753.24,4,2.0,1.0,0
ACC100077,21,1,0.7142857142857143,0.053753915914940345,0.04842034302901631,0.047619047619047616,0.10217425894395665,5,4000.09,800.018,3414.46,2,3.0,2.0,0
ACC100078,18,0,0.7777777777777778,0.041445581692504514,0.040470165320217556,0.0,0.08191574701272207,10,10031.699999999999,1003.1699999999998,2594.88,1,2.0,0.0,0
ACC100079,13,4,0.7692307692307693,0.04102987654418142,0.05061336222676143,0.3076923076923077,0.09164323877094285,9,5902.4,655.8222222222222,1498.61,0,2.0,1.0,0
ACC100080,11,2,0.8181818181818182,0.04397496601890264,0.04320160560989278,0.18181818181818182,0.08717657162879541,9,4360.52,484.50222222222226,1053.37,3,2.0,0.0,0
ACC100081,21,0,0.8571428571428571,0.03673693807392797,0.050400457764359634,0.0,0.08713739583828761,9,4949.66,549.9622222222222,861.14,1,2.0,0.0,0
ACC100082,17,1,0.8235294117647058,0.041945558202760594,0.04270867886039181,0.058823529411764705,0.08465423706315241,14,6099.59,435.685,870.05,4,1.0,0.0,0
ACC100083,18,1,0.8888888888888888,0.03840378691839129,0.04727345978453421,0.05555555555555555,0.08567724670292551,7,2416.09,345.1557142857143,785.21,0,1.0,1.0,0
ACC100084,17,2,1.0,0.050348225624439275,0.07082574359568945,0.11764705882352941,0.12117396922012873,14,6773.2,483.8,1533.72,2,6.0,1.0,0
ACC100085,13,1,0.8461538461538461,0.03316888215767519,0.049439433290669514,0.07692307692307693,0.08260831544834471,12,8834.34,736.195,2259.28,0,2.0,0.0,0
ACC100086,16,0,0.875,0.06276789485875722,0.04425111674673519,0.0,0.1070190116054924,9,3016.63,335.18111111111114,765.29,0,2.0,1.0,0
ACC100087,15,1,0.8,0.04932243283691896,0.05457142109199558,0.06666666666666667,0.10389385392891454,9,3143.91,349.3233333333333,801.44,0,6.0,1.0,0
ACC100088,10,1,0.7,0.06607559727732738,0.054857481005075356,0.1,0.12093307828240274,15,8718.9,581.26,1683.7,0,2.0,0.0,0
ACC100089,23,0,0.9130434782608695,0.055907820802437565,0.042875731824038435,0.0,0.098783552626476,15,11744.63,782.9753333333333,1970.71,3,1.0,1.0,0
ACC100090,14,2,0.7857142857142857,0.04216001503951186,0.05442778863617506,0.14285714285714285,0.09658780367568692,14,6958.43,497.0307142857143,1904.07,2,1.0,0.0,0
ACC100091,14,2,0.9285714285714286,0.035209159179251784,0.05851054051748584,0.14285714285714285,0.09371969969673763,20,7482.9,374.145,1210.37,0,2.0,1.0,0
ACC100092,16,1,0.875,0.04016166445338965,0.04137148323422825,0.0625,0.08153314768761791,12,5600.89,466.74083333333334,1559.67,1,1.0,0.0,0
ACC100093,16,1,0.9375,0.06516873355631007,0.038775774223949955,0.0625,0.10394450778026003,9,4382.72,486.9688888888889,1108.97,1,2.0,1.0,0
ACC100094,13,1,0.8461538461538461,0.035827235020731915,0.0596398131091331,0.07692307692307693,0.095467048129865,10,4274.3,427.43,1168.31,2,0.0,0.0,0
ACC100095,11,0,0.7272727272727273,0.05848928884070065,0.048474298719667554,0.0,0.1069635875603682,11,6008.8,546.2545454545455,1837.08,1,2.0,0.0,0
ACC100096,24,2,0.7083333333333334,0.042677943765579505,0.057582140290499836,0.08333333333333333,0.10026008405607933,7,1952.29,278.8985714285714,1092.57,0,1.0,0.0,0
