transaction_id,amount,is_fraud,transaction_hour,transaction_day,is_weekend,account_age_days,typical_transaction_amount,typical_daily_transactions,amount_deviation_ratio,channel_deviation,daily_transaction_count,total_login_attempts,failed_login_count,successful_login_count,failed_login_ratio,failed_logins_day,total_device_events,sim_change_count,device_change_count,os_update_count,distinct_cities,multi_city_activity,distinct_devices,transaction_type_AIRTIME_PURCHASE,transaction_type_BANK_TRANSFER,transaction_type_BILL_PAYMENT,transaction_type_CASH_OUT,transaction_type_MERCHANT_PAYMENT,transaction_type_P2P_TRANSFER,channel_Mobile_App,channel_USSD,channel_Web,status_COMPLETED,status_FAILED,status_REVERSED,home_city_Keetmanshoop,home_city_Oshakati,home_city_Rundu,home_city_Swakopmund,home_city_Walvis Bay,home_city_Windhoek,customer_segment_Business,customer_segment_Premium,customer_segment_Standard,preferred_channel_Mobile_App,preferred_channel_USSD,preferred_channel_Web,device_platform_Android,device_platform_iOS,baseline_risk_tier_High,baseline_risk_tier_Low,baseline_risk_tier_Medium
TXN_0073200,308.91,0,3,1,0,1396,598.08,6,0.5165028089887641,0,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0084316,1330.02,0,10,2,0,1396,598.08,6,2.2238162118780096,0,2,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0008952,357.65,0,15,2,0,1396,598.08,6,0.5979969234884964,0,2,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0014160,1639.6,0,13,4,0,1396,598.08,6,2.741439272338148,0,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0005765,1218.51,0,13,5,1,1396,598.08,6,2.0373695826645264,1,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0032700,187.45,0,8,0,0,1396,598.08,6,0.31341960941680036,0,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0093922,600.73,0,2,1,0,1396,598.08,6,1.0044308453718567,1,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0023754,146.72,0,14,5,1,1396,598.08,6,0.24531835205992508,1,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0087797,308.45,0,10,0,0,1396,598.08,6,0.5157336811128945,0,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
TXN_0034148,325.48,0,9,3,0,1396,598.08,6,0.5442081326912788,1,1,34,1,33,0.029411764705882353,0.0,5.0,2.0,2.0,1.0,6,1,5.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
