account_id,home_city,account_age_days,customer_segment,preferred_channel,device_platform,typical_transaction_amount,typical_daily_transactions,baseline_risk_tier,primary_device_id,primary_sim_hash
NDM_000001,Oshakati,1396,Business,USSD,Android,598.08,6,Low,DEV_0000001,7af9d71b7e2fc8c4
NDM_000002,Oshakati,3328,Standard,Mobile_App,Android,390.02,4,Low,DEV_0000002,4e2ddd95a46fd863
NDM_000003,Windhoek,1838,Standard,USSD,iOS,662.76,4,Low,DEV_0000003,bbebecff82edcee9
NDM_000004,Windhoek,2488,Premium,Web,Android,719.05,3,Low,DEV_0000004,6592e361e1348a86
NDM_000005,Rundu,2127,Standard,USSD,iOS,322.51,1,Low,DEV_0000005,2a5ce5926282725a
NDM_000006,Swakopmund,3295,Premium,Web,Android,229.14,7,Medium,DEV_0000006,c42697d131188f22
NDM_000007,Walvis Bay,247,Standard,Web,Android,449.18,2,Low,DEV_0000007,432ab0f875633f71
NDM_000008,Walvis Bay,1392,Business,USSD,Android,248.08,4,Low,DEV_0000008,fb0d2ae8b00eff36
NDM_000009,Oshakati,317,Standard,Web,Android,684.23,3,Low,DEV_0000009,acc72662f8362299
NDM_000010,Windhoek,620,Standard,USSD,Android,102.72,3,Low,DEV_0000010,1ebf5c02b79422e5
NDM_000011,Windhoek,1645,Premium,Web,iOS,707.15,4,Low,DEV_0000011,7c5a5d6c6bb9bae0
NDM_000012,Swakopmund,2917,Premium,Web,Android,367.51,7,Medium,DEV_0000012,837d9e62ca6e8876
NDM_000013,Windhoek,3614,Standard,USSD,iOS,86.77,5,Medium,DEV_0000013,486e06b2fd08d79e
NDM_000014,Keetmanshoop,3464,Standard,USSD,Android,601.0,3,Medium,DEV_0000014,e38aef0e2898b853
NDM_000015,Windhoek,2663,Premium,USSD,Android,96.09,5,Medium,DEV_0000015,1f1eb416eeadd0ec
NDM_000016,Walvis Bay,365,Standard,USSD,iOS,114.64,6,Low,DEV_0000016,80a7fb82350e9bae
NDM_000017,Walvis Bay,2860,Premium,Mobile_App,iOS,508.18,2,Low,DEV_0000017,7fe9f6a0f96088dd
NDM_000018,Oshakati,805,Standard,USSD,iOS,526.98,6,Low,DEV_0000018,49d84628336725ed
NDM_000019,Windhoek,1304,Standard,Web,Android,229.75,5,Medium,DEV_0000019,97c239f6e55204f9
NDM_000020,Windhoek,3145,Premium,USSD,Android,253.09,4,Low,DEV_0000020,61de585dfddc710d
NDM_000021,Walvis Bay,1302,Standard,Web,Android,328.9,4,Medium,DEV_0000021,0d3513c8da70ef2c
NDM_000022,Windhoek,99,Standard,Web,iOS,194.23,2,Low,DEV_0000022,8518a96380cc3d82
NDM_000023,Windhoek,3614,Standard,Web,Android,883.09,4,Low,DEV_0000023,2f1461b3a3416b5c
NDM_000024,Swakopmund,3630,Business,Web,iOS,1471.17,4,Low,DEV_0000024,9bd2833afcc06ca2
NDM_000025,Keetmanshoop,1460,Standard,USSD,iOS,285.36,3,Low,DEV_0000025,0b332e6694334054
NDM_000026,Keetmanshoop,2008,Standard,USSD,iOS,735.28,2,Low,DEV_0000026,4cfb67eb5434049d
NDM_000027,Swakopmund,2614,Standard,Web,Android,1096.05,2,Low,DEV_0000027,7e07b56dda3fc697
NDM_000028,Walvis Bay,3299,Standard,Mobile_App,Android,495.76,3,Medium,DEV_0000028,451df629750f7da2
NDM_000029,Windhoek,1956,Standard,Web,Android,609.18,2,Low,DEV_0000029,5074be62daa79d1a
NDM_000030,Rundu,3161,Premium,USSD,Android,1897.21,3,Medium,DEV_0000030,77207b2914ee86d8
NDM_000031,Swakopmund,53,Standard,USSD,Android,1291.8,2,Low,DEV_0000031,1be83ae2b4dc7100
NDM_000032,Keetmanshoop,3581,Premium,USSD,Android,601.04,7,Low,DEV_0000032,0d4f519b053c6ffc
NDM_000033,Walvis Bay,2487,Standard,USSD,Android,118.67,5,Medium,DEV_0000033,4a266bc51e07fa31
NDM_000034,Swakopmund,1193,Premium,USSD,Android,697.42,4,Low,DEV_0000034,03fd0abc19927976
NDM_000035,Windhoek,2877,Premium,USSD,iOS,1923.83,2,Medium,DEV_0000035,4b830e16ccf6d251
NDM_000036,Swakopmund,2828,Premium,USSD,iOS,489.25,6,Low,DEV_0000036,dc8fac5caf8abb45
NDM_000037,Windhoek,336,Standard,Mobile_App,Android,317.25,1,High,DEV_0000037,459e307f02de3eb0
NDM_000038,Walvis Bay,408,Premium,USSD,Android,1356.71,2,Low,DEV_0000038,c17aa0945438c3e4
NDM_000039,Windhoek,3262,Premium,USSD,Android,557.05,3,High,DEV_0000039,4632526e2039c311
NDM_000040,Oshakati,3214,Premium,Mobile_App,iOS,419.42,3,Low,DEV_0000040,5e4c173667a6b18b
NDM_000041,Walvis Bay,3323,Business,USSD,Android,1164.86,2,Medium,DEV_0000041,20fc9cd194443b4b
NDM_000042,Rundu,1986,Standard,USSD,Android,823.35,4,Low,DEV_0000042,ba9ccf1f338317ff
NDM_000043,Windhoek,2237,Standard,USSD,Android,232.59,3,Medium,DEV_0000043,bfb42d1e36a7fe8d
NDM_000044,Walvis Bay,1384,Standard,Web,Android,739.59,4,Low,DEV_0000044,b8c8a489eb93bfad
NDM_000045,Keetmanshoop,30,Standard,Web,iOS,136.29,2,Medium,DEV_0000045,bcc76e575e109a42
NDM_000046,Windhoek,2162,Premium,USSD,iOS,856.11,4,Low,DEV_0000046,2507e0e049319e32
NDM_000047,Windhoek,3086,Premium,USSD,Android,568.83,1,Low,DEV_0000047,cd99068c6c5b372c
NDM_000048,Swakopmund,1553,Standard,Mobile_App,iOS,693.03,4,Low,DEV_0000048,dadecbcc3cf01212
NDM_000049,Walvis Bay,655,Standard,Web,Android,572.46,2,Low,DEV_0000049,f07b7988ca9a87f6
NDM_000050,Walvis Bay,2840,Standard,USSD,iOS,66.99,5,Medium,DEV_0000050,9766196f6de68c2e
NDM_000051,Rundu,480,Business,USSD,Android,216.68,7,Low,DEV_0000051,3da0b9667587cb04
NDM_000052,Swakopmund,3531,Standard,Web,Android,219.71,4,Medium,DEV_0000052,fa0a527986ad659a
NDM_000053,Windhoek,1223,Standard,USSD,Android,653.93,4,Low,DEV_0000053,1af3e105186dcc65
NDM_000054,Walvis Bay,164,Standard,USSD,iOS,639.28,3,Low,DEV_0000054,65d279d00e0376a1
NDM_000055,Windhoek,827,Premium,Web,Android,3151.72,3,Low,DEV_0000055,16794230bc658cef
NDM_000056,Keetmanshoop,3169,Standard,USSD,iOS,367.83,6,Low,DEV_0000056,5eb328c9f788eeaa
NDM_000057,Windhoek,452,Standard,USSD,iOS,976.16,4,Low,DEV_0000057,38e23071f31749ae
NDM_000058,Swakopmund,576,Standard,Web,Android,180.77,4,Low,DEV_0000058,000c0481d93c85b0
NDM_000059,Walvis Bay,3279,Business,USSD,Android,507.32,1,Low,DEV_0000059,339076d81da29332
NDM_000060,Oshakati,127,Standard,Web,Android,321.51,5,Medium,DEV_0000060,d3d1c4802f831384
NDM_000061,Windhoek,1986,Standard,USSD,Android,639.57,3,Low,DEV_0000061,2e7f9b818cefa409
NDM_000062,Windhoek,1705,Standard,USSD,iOS,1334.86,5,Medium,DEV_0000062,fb3226d90c3c5d65
NDM_000063,Walvis Bay,1130,Standard,Web,Android,1086.45,4,Medium,DEV_0000063,2a51a5716382345a
NDM_000064,Rundu,3348,Standard,Web,Android,245.77,6,Low,DEV_0000064,bd435bba39b6c4f1
NDM_000065,Windhoek,823,Standard,USSD,iOS,447.16,2,Medium,DEV_0000065,ae03d013c200b091
NDM_000066,Windhoek,826,Standard,USSD,iOS,411.63,4,Low,DEV_0000066,690feccbff6a045d
NDM_000067,Walvis Bay,778,Standard,USSD,iOS,724.38,1,Medium,DEV_0000067,3573f47bcf03bf6f
NDM_000068,Windhoek,188,Standard,USSD,iOS,396.07,2,Low,DEV_0000068,945a0ed55b3a1768
NDM_000069,Walvis Bay,3412,Premium,USSD,Android,507.29,2,Low,DEV_0000069,2413298de5beb90f
NDM_000070,Swakopmund,1525,Standard,USSD,Android,870.49,4,Low,DEV_0000070,82f199adc80d6117
NDM_000071,Swakopmund,988,Standard,USSD,Android,369.88,2,Low,DEV_0000071,0ef8e379ab6ec6b0
NDM_000072,Swakopmund,3564,Standard,USSD,Android,600.09,2,Medium,DEV_0000072,7d551015a331bebc
NDM_000073,Walvis Bay,3109,Standard,USSD,Android,231.83,4,Low,DEV_0000073,decb3eb94f741a15
