ticket_id,timestamp,account_id,text,priority
TICKET_001926,2026-09-03 08:35:02,NDM_000001,I am travelling and cannot access my normal device.,Low
TICKET_000926,2026-09-19 02:10:10,NDM_000002,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_000416,2026-09-02 16:08:33,NDM_000003,My account is locked after several login attempts.,Medium
TICKET_001865,2026-09-28 07:50:34,NDM_000008,I am travelling and cannot access my normal device.,Medium
TICKET_001418,2026-09-25 09:52:50,NDM_000010,I cannot access my account and my password no longer works.,Medium
TICKET_001137,2026-09-16 06:14:07,NDM_000012,My SIM card was replaced and I cannot log in.,Low
TICKET_001289,2026-09-19 14:06:05,NDM_000018,Please help me update my registered mobile number.,High
TICKET_001796,2026-09-23 07:28:12,NDM_000019,I noticed a transfer that I do not recognise.,Low
TICKET_001069,2026-09-24 13:25:58,NDM_000019,I received an OTP that I did not request.,Low
TICKET_000400,2026-09-15 08:34:06,NDM_000020,I cannot access my account and my password no longer works.,Low
TICKET_000271,2026-09-26 08:46:57,NDM_000022,I made this transaction myself but it is showing as pending.,High
TICKET_000548,2026-09-20 16:06:53,NDM_000023,There is no problem with my account; I need assistance with a payment.,Low
TICKET_000833,2026-09-12 15:53:58,NDM_000024,I noticed a transfer that I do not recognise.,Low
TICKET_001984,2026-09-28 15:17:05,NDM_000024,I am travelling and cannot access my normal device.,Medium
TICKET_000805,2026-09-15 07:06:55,NDM_000027,I noticed a transfer that I do not recognise.,Low
TICKET_000552,2026-09-11 12:20:32,NDM_000034,I made this transaction myself but it is showing as pending.,Low
TICKET_001587,2026-09-28 14:07:42,NDM_000038,I cannot access my account and my password no longer works.,Low
TICKET_001125,2026-09-02 00:42:49,NDM_000043,My phone was lost and I need to secure my account.,Low
TICKET_000456,2026-09-22 10:07:02,NDM_000043,My phone was lost and I need to secure my account.,Low
TICKET_000605,2026-09-14 09:57:34,NDM_000045,My account is locked after several login attempts.,Low
TICKET_000535,2026-09-02 00:53:36,NDM_000046,I made this transaction myself but it is showing as pending.,Medium
TICKET_001434,2026-09-09 03:56:20,NDM_000048,My phone was lost and I need to secure my account.,Low
TICKET_000648,2026-09-13 09:33:09,NDM_000053,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001708,2026-09-23 12:00:06,NDM_000053,My phone was lost and I need to secure my account.,Low
TICKET_001138,2026-09-26 05:27:01,NDM_000054,I changed my phone and need help accessing my account.,Low
TICKET_001970,2026-09-29 09:22:52,NDM_000055,I am travelling and cannot access my normal device.,Low
TICKET_001913,2026-09-07 19:41:07,NDM_000057,I am travelling and cannot access my normal device.,Medium
TICKET_000572,2026-09-05 20:50:35,NDM_000059,There was a transaction on my account that I did not make.,Low
TICKET_000787,2026-09-23 23:54:52,NDM_000061,I noticed a transfer that I do not recognise.,Low
TICKET_001532,2026-09-05 13:10:36,NDM_000065,I changed my phone and need help accessing my account.,Medium
TICKET_001083,2026-09-28 03:00:11,NDM_000065,There was a transaction on my account that I did not make.,Medium
TICKET_001759,2026-09-08 06:17:08,NDM_000066,I received an OTP that I did not request.,Low
TICKET_001281,2026-09-07 04:29:13,NDM_000071,My phone was lost and I need to secure my account.,Low
TICKET_000823,2026-09-13 17:34:01,NDM_000075,There was a transaction on my account that I did not make.,Low
TICKET_000861,2026-09-23 04:04:01,NDM_000078,I received an OTP that I did not request.,Low
TICKET_000644,2026-09-27 02:06:32,NDM_000080,I am travelling and cannot access my normal device.,Low
TICKET_001542,2026-09-27 21:58:55,NDM_000082,My SIM card was replaced and I cannot log in.,Low
TICKET_001513,2026-09-22 15:19:36,NDM_000086,I noticed a transfer that I do not recognise.,Low
TICKET_001936,2026-09-19 02:29:10,NDM_000088,There was a transaction on my account that I did not make.,Low
TICKET_000998,2026-09-02 01:07:48,NDM_000097,Please help me update my registered mobile number.,Medium
TICKET_001565,2026-09-05 18:07:27,NDM_000101,I received an OTP that I did not request.,High
TICKET_001750,2026-09-03 21:30:23,NDM_000102,I received an OTP that I did not request.,Low
TICKET_000281,2026-09-16 03:32:08,NDM_000102,I noticed a transfer that I do not recognise.,Low
TICKET_001942,2026-09-12 19:03:20,NDM_000106,I changed my phone and need help accessing my account.,Low
TICKET_001171,2026-09-15 13:21:42,NDM_000108,I made this transaction myself but it is showing as pending.,Medium
