event_id,timestamp,account_id,change_type,device_id,sim_hash,device_model,os_version
DEV_EVT_0000527,2026-09-01 18:34:31,NDM_000001,OS_UPDATE,DEV_EVT_0000527,9508b8845b9df4b7,iPhone_14,iOS_17
DEV_EVT_0015915,2026-09-02 03:51:03,NDM_000001,SIM_CHANGE,DEV_EVT_0015915,cb2edc3f24f9a603,Samsung_A15,Android_14
DEV_EVT_0007552,2026-09-06 11:54:18,NDM_000001,DEVICE_CHANGE,DEV_EVT_0007552,b430ae7d81a81a02,Xiaomi_Redmi,Android_13
DEV_EVT_0009780,2026-09-08 19:41:39,NDM_000001,SIM_CHANGE,DEV_EVT_0009780,f0dd67fbb2911b7e,iPhone_13,Android_14
DEV_EVT_0016094,2026-09-09 15:40:07,NDM_000001,DEVICE_CHANGE,DEV_EVT_0016094,c8c538047190affc,iPhone_14,iOS_18
DEV_EVT_0009241,2026-09-04 21:19:47,NDM_000002,SIM_CHANGE,DEV_EVT_0009241,6eef66153e8e5150,iPhone_14,iOS_17
DEV_EVT_0008147,2026-09-06 13:17:36,NDM_000002,SIM_CHANGE,DEV_EVT_0008147,50993315dafb3edf,Google_Pixel,Android_15
DEV_EVT_0009988,2026-09-12 15:28:53,NDM_000002,SIM_CHANGE,DEV_EVT_0009988,333f16230daf8977,iPhone_13,iOS_18
DEV_EVT_0001399,2026-09-19 01:30:55,NDM_000002,SIM_CHANGE,DEV_EVT_0001399,9c619a131c2b9489,iPhone_14,Android_15
DEV_EVT_0019207,2026-09-20 01:51:58,NDM_000002,SIM_CHANGE,DEV_EVT_0019207,ee75e29a08946225,Samsung_A25,iOS_17
DEV_EVT_0018234,2026-09-25 09:14:30,NDM_000002,DEVICE_CHANGE,DEV_EVT_0018234,fc248eb04e8aa1ef,Xiaomi_Redmi,iOS_18
DEV_EVT_0006075,2026-09-06 21:12:34,NDM_000003,SIM_CHANGE,DEV_EVT_0006075,72a87548f388476d,Samsung_A15,Android_15
DEV_EVT_0012367,2026-09-12 08:31:47,NDM_000003,DEVICE_CHANGE,DEV_EVT_0012367,0da2fc2097893c42,Xiaomi_Redmi,Android_14
DEV_EVT_0004986,2026-09-15 10:21:03,NDM_000003,SIM_CHANGE,DEV_EVT_0004986,bf6c4fe815f68849,Huawei_Nova,iOS_18
DEV_EVT_0005532,2026-09-23 14:44:11,NDM_000003,SIM_CHANGE,DEV_EVT_0005532,1001c46010033427,Huawei_Nova,iOS_18
DEV_EVT_0016861,2026-09-28 23:45:17,NDM_000003,SIM_CHANGE,DEV_EVT_0016861,661f9638b28ad671,iPhone_13,iOS_18
DEV_EVT_0009308,2026-09-01 09:00:22,NDM_000004,DEVICE_CHANGE,DEV_EVT_0009308,c9ecc37031b0e5ae,Huawei_Nova,Android_14
DEV_EVT_0018500,2026-09-01 21:57:08,NDM_000004,DEVICE_CHANGE,DEV_EVT_0018500,6d13a5a92af8db1d,Huawei_Nova,iOS_17
DEV_EVT_0011460,2026-09-09 18:27:11,NDM_000004,SIM_CHANGE,DEV_EVT_0011460,f213fbafc3371c8e,Samsung_A15,Android_15
DEV_EVT_0017076,2026-09-17 05:06:11,NDM_000004,OS_UPDATE,DEV_EVT_0017076,4ccb981f0685abb9,Samsung_A25,iOS_18
