transaction_id,timestamp,account_id,transaction_type,channel,typical_daily_transactions,amount,counterparty_id,status
TXN_0073200,2026-09-01 03:26:26,NDM_000001,P2P_TRANSFER,USSD,6,308.91,CP_001403,COMPLETED
TXN_0084316,2026-09-02 10:13:02,NDM_000001,P2P_TRANSFER,USSD,6,1330.02,CP_003744,COMPLETED
TXN_0008952,2026-09-02 15:54:46,NDM_000001,AIRTIME_PURCHASE,USSD,6,357.65,CP_004306,COMPLETED
TXN_0014160,2026-09-04 13:37:54,NDM_000001,P2P_TRANSFER,USSD,6,1639.6,CP_003718,COMPLETED
TXN_0005765,2026-09-05 13:13:21,NDM_000001,AIRTIME_PURCHASE,Web,6,1218.51,CP_005075,COMPLETED
TXN_0032700,2026-09-07 08:40:55,NDM_000001,BILL_PAYMENT,USSD,6,187.45,CP_005570,COMPLETED
TXN_0093922,2026-09-08 02:01:31,NDM_000001,MERCHANT_PAYMENT,Mobile_App,6,600.73,CP_009017,COMPLETED
TXN_0023754,2026-09-12 14:23:57,NDM_000001,MERCHANT_PAYMENT,Web,6,146.72,CP_007040,COMPLETED
TXN_0087797,2026-09-14 10:41:36,NDM_000001,P2P_TRANSFER,USSD,6,308.45,CP_007995,COMPLETED
TXN_0034148,2026-09-17 09:16:09,NDM_000001,CASH_OUT,Web,6,325.48,CP_004953,COMPLETED
TXN_0074374,2026-09-20 21:57:19,NDM_000001,MERCHANT_PAYMENT,Web,6,103.91,CP_003268,COMPLETED
TXN_0046039,2026-09-23 00:30:26,NDM_000001,P2P_TRANSFER,Web,6,304.77,CP_006383,COMPLETED
TXN_0087150,2026-09-27 18:40:25,NDM_000001,P2P_TRANSFER,USSD,6,428.69,CP_003724,COMPLETED
TXN_0058777,2026-09-06 22:17:24,NDM_000002,MERCHANT_PAYMENT,Mobile_App,4,540.75,CP_008694,COMPLETED
TXN_0088232,2026-09-08 06:21:41,NDM_000002,MERCHANT_PAYMENT,Web,4,718.39,CP_004719,COMPLETED
TXN_0060717,2026-09-08 07:00:43,NDM_000002,P2P_TRANSFER,USSD,4,526.01,CP_005938,COMPLETED
TXN_0012358,2026-09-08 09:22:34,NDM_000002,P2P_TRANSFER,USSD,4,182.75,CP_007128,COMPLETED
TXN_0017003,2026-09-09 03:35:18,NDM_000002,P2P_TRANSFER,Mobile_App,4,741.47,CP_001022,COMPLETED
TXN_0026128,2026-09-11 22:29:29,NDM_000002,P2P_TRANSFER,Mobile_App,4,519.33,CP_007395,COMPLETED
TXN_0089319,2026-09-13 19:36:05,NDM_000002,MERCHANT_PAYMENT,USSD,4,448.66,CP_005589,COMPLETED
TXN_0012691,2026-09-15 21:43:28,NDM_000002,BILL_PAYMENT,USSD,4,691.67,CP_002873,COMPLETED
TXN_0094179,2026-09-19 20:50:18,NDM_000002,MERCHANT_PAYMENT,Web,4,527.28,CP_008524,COMPLETED
TXN_0065455,2026-09-22 03:52:12,NDM_000002,MERCHANT_PAYMENT,Web,4,483.56,CP_005265,COMPLETED
TXN_0076288,2026-09-22 08:49:44,NDM_000002,CASH_OUT,Mobile_App,4,188.17,CP_000396,COMPLETED
TXN_0075597,2026-09-22 09:46:29,NDM_000002,MERCHANT_PAYMENT,USSD,4,290.25,CP_000743,COMPLETED
TXN_0097949,2026-09-25 21:01:07,NDM_000002,BILL_PAYMENT,Web,4,990.38,CP_007043,COMPLETED
TXN_0008808,2026-09-27 10:45:39,NDM_000002,MERCHANT_PAYMENT,Web,4,1288.32,CP_006723,COMPLETED
TXN_0070367,2026-09-30 15:11:41,NDM_000002,MERCHANT_PAYMENT,USSD,4,247.85,CP_001569,COMPLETED
TXN_0025562,2026-09-02 10:40:07,NDM_000003,P2P_TRANSFER,Web,4,1621.96,CP_005673,COMPLETED
TXN_0057123,2026-09-02 16:49:19,NDM_000003,P2P_TRANSFER,USSD,4,681.49,CP_003265,COMPLETED
TXN_0085819,2026-09-03 17:19:47,NDM_000003,AIRTIME_PURCHASE,Web,4,277.84,CP_005019,COMPLETED
