sequence,account_id,timestamp,source,event_id,event_description
1,NDM_000003,2026-09-01 20:42:09,AUTHENTICATION,AUTH_0064408,Login SUCCESS
2,NDM_000003,2026-09-02 02:12:26,AUTHENTICATION,AUTH_0052702,Login SUCCESS
3,NDM_000003,2026-09-02 04:00:28,AUTHENTICATION,AUTH_0056486,Login SUCCESS
4,NDM_000003,2026-09-02 04:10:14,AUTHENTICATION,AUTH_0043710,Login SUCCESS
5,NDM_000003,2026-09-02 10:40:07,TRANSACTION,TXN_0025562,Transaction: P2P_TRANSFER amount=1621.96
6,NDM_000003,2026-09-02 16:08:33,SUPPORT,TICKET_000416,Support ticket: My account is locked after several login attempts.
7,NDM_000003,2026-09-02 16:36:19,AUTHENTICATION,ATO_AUTH_NDM_000003_1,Login FAILED - Bad OTP
8,NDM_000003,2026-09-02 16:45:19,AUTHENTICATION,ATO_AUTH_NDM_000003_2,Login FAILED - Bad OTP
9,NDM_000003,2026-09-02 16:46:19,AUTHENTICATION,ATO_AUTH_NDM_000003_3,Login FAILED - Wrong Password
10,NDM_000003,2026-09-02 16:46:19,DEVICE_SIM,ATO_DEV_EVT_NDM_000003,Device/SIM event: DEVICE_CHANGE
11,NDM_000003,2026-09-02 16:47:19,GEOLOCATION,ATO_GEO_NDM_000003,Location: Keetmanshoop
12,NDM_000003,2026-09-02 16:49:19,TRANSACTION,TXN_0057123,Transaction: P2P_TRANSFER amount=2128.89
