term,coefficient,absolute_coefficient
did,1.659492688782221,1.659492688782221
lost need,1.2570947730382347,1.2570947730382347
secure account,1.2570947730382347,1.2570947730382347
phone lost,1.2570947730382347,1.2570947730382347
lost,1.2570947730382347,1.2570947730382347
need secure,1.2570947730382347,1.2570947730382347
secure,1.2570947730382347,1.2570947730382347
account did,1.2327403451202283,1.2327403451202283
did make,1.2327403451202283,1.2327403451202283
transaction account,1.2327403451202283,1.2327403451202283
make,1.2327403451202283,1.2327403451202283
access,-1.2054044557084171,1.2054044557084171
help,-1.1542616163926323,1.1542616163926323
showing,-1.0826136196416776,1.0826136196416776
transaction showing,-1.0826136196416776,1.0826136196416776
showing pending,-1.0826136196416776,1.0826136196416776
pending,-1.0826136196416776,1.0826136196416776
recognise,1.0642104791687936,1.0642104791687936
noticed,1.0642104791687936,1.0642104791687936
transfer recognise,1.0642104791687936,1.0642104791687936
transfer,1.0642104791687936,1.0642104791687936
noticed transfer,1.0642104791687936,1.0642104791687936
replaced,0.9988956449696202,0.9988956449696202
sim card,0.9988956449696202,0.9988956449696202
log,0.9988956449696202,0.9988956449696202
card,0.9988956449696202,0.9988956449696202
sim,0.9988956449696202,0.9988956449696202
replaced log,0.9988956449696202,0.9988956449696202
card replaced,0.9988956449696202,0.9988956449696202
received,0.9134954617113331,0.9134954617113331
otp did,0.9134954617113331,0.9134954617113331
otp,0.9134954617113331,0.9134954617113331
did request,0.9134954617113331,0.9134954617113331
request,0.9134954617113331,0.9134954617113331
received otp,0.9134954617113331,0.9134954617113331
account locked,-0.8624988662869421,0.8624988662869421
locked login,-0.8624988662869421,0.8624988662869421
locked,-0.8624988662869421,0.8624988662869421
login attempts,-0.8624988662869421,0.8624988662869421
login,-0.8624988662869421,0.8624988662869421
attempts,-0.8624988662869421,0.8624988662869421
account need,-0.8230488794430768,0.8230488794430768
assistance,-0.8230488794430768,0.8230488794430768
problem,-0.8230488794430768,0.8230488794430768
problem account,-0.8230488794430768,0.8230488794430768
payment,-0.8230488794430768,0.8230488794430768
need assistance,-0.8230488794430768,0.8230488794430768
assistance payment,-0.8230488794430768,0.8230488794430768
normal device,-0.7558152092610634,0.7558152092610634
normal,-0.7558152092610634,0.7558152092610634
travelling,-0.7558152092610634,0.7558152092610634
device,-0.7558152092610634,0.7558152092610634
access normal,-0.7558152092610634,0.7558152092610634
travelling access,-0.7558152092610634,0.7558152092610634
accessing account,-0.7269376374483505,0.7269376374483505
accessing,-0.7269376374483505,0.7269376374483505
help accessing,-0.7269376374483505,0.7269376374483505
need help,-0.7269376374483505,0.7269376374483505
changed phone,-0.7269376374483505,0.7269376374483505
changed,-0.7269376374483505,0.7269376374483505
phone need,-0.7269376374483505,0.7269376374483505
works,-0.7128315758688365,0.7128315758688365
access account,-0.7128315758688365,0.7128315758688365
account password,-0.7128315758688365,0.7128315758688365
password,-0.7128315758688365,0.7128315758688365
password longer,-0.7128315758688365,0.7128315758688365
longer works,-0.7128315758688365,0.7128315758688365
longer,-0.7128315758688365,0.7128315758688365
update registered,-0.673964366012711,0.673964366012711
help update,-0.673964366012711,0.673964366012711
mobile number,-0.673964366012711,0.673964366012711
mobile,-0.673964366012711,0.673964366012711
update,-0.673964366012711,0.673964366012711
number,-0.673964366012711,0.673964366012711
registered,-0.673964366012711,0.673964366012711
registered mobile,-0.673964366012711,0.673964366012711
phone,0.6254761320841914,0.6254761320841914
transaction,0.34159558054146627,0.34159558054146627
account,-0.017848856008712985,0.017848856008712985
need,0.015983558986889836,0.015983558986889836
